Round Number,Date,Location,Home Team,Away Team,Result
10,26/05/2019 15:20,Marvel Stadium,St Kilda,Carlton,
10,26/05/2019 17:20,Optus Stadium,Fremantle,Brisbane Lions,
11,31/05/2019 19:50,Marvel Stadium,North Melbourne,Richmond,
11,01/06/2019 13:45,MCG,Collingwood,Fremantle,
11,01/06/2019 13:45,Sydney Showground Stadium,GWS Giants,Gold Coast Suns,
11,01/06/2019 16:35,GMHBA Stadium,Geelong Cats,Sydney Swans,
11,01/06/2019 19:25,Gabba,Brisbane Lions,Hawthorn,
11,01/06/2019 19:40,TIO Stadium,Melbourne,Adelaide Crows,
11,02/06/2019 14:40,Adelaide Arena at Jiangwan Stadium,St Kilda,Port Adelaide,
11,02/06/2019 15:20,MCG,Essendon,Carlton,
11,02/06/2019 17:20,Optus Stadium,West Coast Eagles,Western Bulldogs,
12,07/06/2019 19:50,MCG,Richmond,Geelong Cats,
12,08/06/2019 13:45,Marvel Stadium,Carlton,Brisbane Lions,
12,08/06/2019 16:35,Metricon Stadium,Gold Coast Suns,North Melbourne,
12,08/06/2019 19:40,Adelaide Oval,Adelaide Crows,GWS Giants,
12,09/06/2019 15:20,SCG,Sydney Swans,West Coast Eagles,
12,10/06/2019 15:20,MCG,Collingwood,Melbourne,
13,13/06/2019 19:50,Adelaide Oval,Adelaide Crows,Richmond,
13,14/06/2019 19:50,Marvel Stadium,Essendon,Hawthorn,
13,15/06/2019 13:45,Riverway Stadium,Gold Coast Suns,St Kilda,
13,15/06/2019 16:35,Optus Stadium,Fremantle,Port Adelaide,
13,15/06/2019 19:25,Marvel Stadium,Carlton,Western Bulldogs,
13,16/06/2019 15:20,Blundstone Arena,North Melbourne,GWS Giants,
14,20/06/2019 20:10,Optus Stadium,West Coast Eagles,Essendon,
14,21/06/2019 19:50,SCG,Sydney Swans,Hawthorn,
14,22/06/2019 13:45,MCG,Melbourne,Fremantle,
14,22/06/2019 16:35,Marvel Stadium,St Kilda,Brisbane Lions,
14,22/06/2019 19:40,Adelaide Oval,Port Adelaide,Geelong Cats,
14,23/06/2019 15:20,Marvel Stadium,Western Bulldogs,Collingwood,
15,27/06/2019 19:20,Marvel Stadium,Essendon,GWS Giants,
15,28/06/2019 19:50,GMHBA Stadium,Geelong Cats,Adelaide Crows,
15,29/06/2019 13:45,MCG,Hawthorn,West Coast Eagles,
15,29/06/2019 16:35,SCG,Sydney Swans,Gold Coast Suns,
15,29/06/2019 19:25,Marvel Stadium,Collingwood,North Melbourne,
15,29/06/2019 19:40,Adelaide Oval,Port Adelaide,Western Bulldogs,
15,30/06/2019 13:10,Marvel Stadium,St Kilda,Richmond,
15,30/06/2019 15:20,Gabba,Brisbane Lions,Melbourne,
15,30/06/2019 17:20,Optus Stadium,Fremantle,Carlton,
